,Series_Type,Series_Name
181,AZYAVA0URN,"Unemployment Rate in Yavapai County, AZ"
182,AZYUMA0URN,"Unemployment Rate in Yuma County, AZ"
183,CAALAM1URN,"Unemployment Rate in Alameda County, CA"
184,CAALPI3URN,"Unemployment Rate in Alpine County, CA"
185,CAAMAD5URN,"Unemployment Rate in Amador County, CA"
186,CABUTT5URN,"Unemployment Rate in Butte County, CA"
187,CACALA9URN,"Unemployment Rate in Calaveras County, CA"
188,CACOLU1URN,"Unemployment Rate in Colusa County, CA"
189,CACONT3URN,"Unemployment Rate in Contra Costa County, CA"
190,CADELN5URN,"Unemployment Rate in Del Norte County, CA"
191,CAELDO5URN,"Unemployment Rate in El Dorado County, CA"
192,CAFRES9URN,"Unemployment Rate in Fresno County, CA"
193,CAGLEN1URN,"Unemployment Rate in Glenn County, CA"
194,CAHUMB0URN,"Unemployment Rate in Humboldt County, CA"
195,CAIMPE5URN,"Unemployment Rate in Imperial County, CA"
196,CAINYO7URN,"Unemployment Rate in Inyo County, CA"
197,CAKERN0URN,"Unemployment Rate in Kern County, CA"
198,CAKING3URN,"Unemployment Rate in Kings County, CA"
199,CALAKE3URN,"Unemployment Rate in Lake County, CA"
200,CALASS5URN,"Unemployment Rate in Lassen County, CA"
201,CALOSA7URN,"Unemployment Rate in Los Angeles County, CA"
202,CAMADE0URN,"Unemployment Rate in Madera County, CA"
203,CAMARI3URN,"Unemployment Rate in Mariposa County, CA"
204,CAMARI5URN,"Unemployment Rate in Marin County, CA"
205,CAMEND5URN,"Unemployment Rate in Mendocino County, CA"
206,CAMERC0URN,"Unemployment Rate in Merced County, CA"
207,CAMODO9URN,"Unemployment Rate in Modoc County, CA"
208,CAMONO1URN,"Unemployment Rate in Mono County, CA"
209,CAMONT2URN,"Unemployment Rate in Monterey County, CA"
210,CANAPA0URN,"Unemployment Rate in Napa County, CA"
211,CANEVA0URN,"Unemployment Rate in Nevada County, CA"
212,CAORAN7URN,"Unemployment Rate in Orange County, CA"
213,CAPLAC0URN,"Unemployment Rate in Placer County, CA"
214,CAPLUM3URN,"Unemployment Rate in Plumas County, CA"
215,CARIVE5URN,"Unemployment Rate in Riverside County, CA"
216,CASACR5URN,"Unemployment Rate in Sacramento County, CA"
217,CASANB1URN,"Unemployment Rate in San Bernardino County, CA"
218,CASANB9URN,"Unemployment Rate in San Benito County, CA"
219,CASAND5URN,"Unemployment Rate in San Diego County, CA"
220,CASANF0URN,"Unemployment Rate in San Francisco County/City, CA"
221,CASANJ8URN,"Unemployment Rate in San Joaquin County, CA"
222,CASANL9URN,"Unemployment Rate in San Luis Obispo County, CA"
